country_code,country_name,year,gdp_usd,gdp_growth_pct,debt_to_gdp_pct,inflation_pct,unemployment_pct,current_account_gdp,gdp_per_capita_usd,debt_sustainability_signal,misery_index,current_account_deficit
AR,Argentina,2000,284203750000.0,-0.78899893905691,,,15.0,-3.15992237703676,7637.01489203628,,,1
AR,Argentina,2001,268696750000.0,-4.40883968258557,,,17.32,-1.40694788500181,7141.47507662826,,,1
AR,Argentina,2002,97724004251.8602,-10.8944848285903,,,19.59,8.97078467784247,2569.69963519124,,,0
AR,Argentina,2003,127586973492.177,8.83704079576924,,,15.36,6.37990680177011,3320.47775133903,,,0
AR,Argentina,2004,164657930452.787,9.02957330068152,,,13.522,1.95058324319273,4242.02099089422,,,0
AR,Argentina,2005,198737095012.282,8.85165992013437,,,11.506,2.65363142179073,5067.65342293276,,,0
AR,Argentina,2006,232557260817.308,8.04715150043027,,,10.078,2.79449564264943,5869.38028970204,,,0
AR,Argentina,2007,287530508430.568,9.00765087504757,,,8.47,2.1036160391819,7185.25155147027,,,0
AR,Argentina,2008,361558037110.419,4.05723310346406,,,7.837,1.49940141614234,8944.1102657357,,,0
AR,Argentina,2009,332976484577.619,-5.91852507634947,,,8.645,2.1785669619099,8150.23527028221,,,0
AR,Argentina,2010,423627422092.49,10.1253981561002,,,7.714,-0.383118699737132,10260.1313108254,,,1
AR,Argentina,2011,530158122010.442,6.00395169280579,,,7.18,-1.00728084144866,12704.2831819684,,,1
AR,Argentina,2012,545982375701.128,-1.0264204544321,,,7.217,-0.39159512386959,12949.717486654,,,1
AR,Argentina,2013,552025140252.246,2.40532378079436,,,7.1,-2.37749566620572,12963.675773326,,,1
AR,Argentina,2014,526319673731.638,-2.51261532081394,,,7.268,-1.74400211981355,12233.1444119186,,,1
AR,Argentina,2015,594749285413.212,2.73115982828944,,,7.577,-2.96292666513533,13679.6264980954,,,1
AR,Argentina,2016,557532320662.955,-2.08032784377811,,,8.088,-2.70922168361454,12699.9623137756,,,1
AR,Argentina,2017,643628393281.364,2.81850297775918,,,8.347,-4.8399592180739,14532.5009308511,,,1
AR,Argentina,2018,524819892360.176,-2.61739646282038,,34.2772237131003,9.22,-5.16055257152295,11752.7998922979,,43.5,1
AR,Argentina,2019,447754683615.225,-2.00086100285785,,53.5483043492339,9.843,-0.779998447561847,9955.97478680428,,63.39,1
AR,Argentina,2020,385740508436.965,-9.9004848136464,,42.0150947376509,11.461,0.696935361136029,8535.59938004389,,53.48,0
AR,Argentina,2021,486564085480.036,10.4418119882506,,48.4093786255199,8.736,1.36154422203441,10738.0179223384,,57.15,0
AR,Argentina,2022,633993756301.08,6.02074537534855,,72.430757531824,6.805,-0.62525456692328,13962.1894087223,,79.24,1
AR,Argentina,2023,649461687959.174,-1.85578803046339,,133.488935594175,6.139,-3.1951463789585,14261.8465667948,,139.63,1
AR,Argentina,2024,638365455340.04,-1.34293072157739,,219.883929014578,7.15,0.893118418089374,13969.7836603737,,227.03,0
AR,,2025,,,,,7.145,,,,,0
BR,Brazil,2000,655448188259.351,4.38794944364869,,7.04414105947265,10.889,-4.04774157195875,3766.54786339835,,17.93,1
BR,Brazil,2001,559983704094.17,1.3898964044581,,6.84035902487523,10.649,-4.44478598177802,3176.28975052524,,17.49,1
BR,Brazil,2002,509795270685.19,3.05346185683619,,8.45016437708331,10.641,-1.84525902808169,2855.94017137049,,19.09,1
BR,Brazil,2003,558233724164.711,1.14082899877101,,14.7149197228147,11.168,0.392877198829747,3090.6068907839,,25.88,0
BR,Brazil,2004,669289321944.512,5.75996463685998,,6.59718509985963,10.072,1.33863085372603,3663.82262497811,,16.67,0
BR,Brazil,2005,891633826625.407,3.20213206216255,,6.86953720898964,10.551,1.30988468509779,4827.78165890291,,17.42,0
BR,Brazil,2006,1107626711163.23,3.96198870899485,,4.18356812896909,9.692,0.972710373980306,5934.14561857454,,13.88,0
BR,Brazil,2007,1397114247188.89,6.06987060733128,,3.64127299102652,9.28,-0.197096994827677,7409.69003822861,,12.92,1
BR,Brazil,2008,1695855391757.96,5.09419544811998,,5.67859390284168,8.268,-2.09933746626458,8908.33338467948,,13.95,1
BR,Brazil,2009,1666996294252.12,-0.12581200299141,,4.88803479876798,9.419,-1.75935802585413,8678.6584730653,,14.31,1
BR,Brazil,2010,2208838108484.35,7.52822581812151,61.3187804637225,5.03872690108074,8.42,-3.92594539867631,11403.2840038694,53.79,13.46,1
BR,Brazil,2011,2616156606579.21,3.97442307944702,59.3416583034432,6.6364496221309,7.578,-3.19461785178244,13396.6263158041,55.37,14.21,1
